Date_Time,Open,High,Low,Close,Volume
01-01-2019 09:15,10909.95,10929.9,10870.45,10874.4,282900
01-01-2019 09:20,10872.15,10886.9,10864,10871,288825
01-01-2019 09:25,10872,10884.15,10869.3,10883,159600
01-01-2019 09:30,10883.7,10883.7,10869,10870,106575
01-01-2019 09:35,10871.3,10877.35,10868,10872.95,83850
01-01-2019 09:40,10872.05,10878.25,10870.1,10878,46650
01-01-2019 09:45,10878,10882.9,10876.1,10876.1,64875
01-01-2019 09:50,10876,10876,10870,10870,51375
01-01-2019 09:55,10869.95,10870,10853,10853.65,273375
01-01-2019 10:00,10854.65,10854.85,10843.2,10854.45,261150
01-01-2019 10:05,10853.95,10854.8,10850.6,10852,73425
01-01-2019 10:10,10851.65,10859,10851.65,10857.35,61800
01-01-2019 10:15,10857.1,10862,10851.85,10861.95,58875
01-01-2019 10:20,10862,10864.95,10855,10855.8,51075
01-01-2019 10:25,10855.45,10865.65,10853.7,10865.05,45225
01-01-2019 10:30,10866,10869.7,10865,10866.95,43725
01-01-2019 10:35,10867,10867.85,10861.5,10861.5,29025
01-01-2019 10:40,10861.4,10864.95,10856.05,10863,41325
01-01-2019 10:45,10864,10865,10859,10861,25125
01-01-2019 10:50,10861.2,10868.5,10859.1,10865.2,36975
01-01-2019 10:55,10865.15,10867.8,10863.7,10865,18600
01-01-2019 11:00,10863.25,10876.35,10863.25,10876.15,71175
01-01-2019 11:05,10876.9,10882,10873.25,10875.6,89100
01-01-2019 11:10,10875.6,10879,10872,10878,32175
01-01-2019 11:15,10878,10879.7,10875,10875,29700
01-01-2019 11:20,10877,10878.6,10874,10874.05,20850
01-01-2019 11:25,10875.3,10875.55,10868.1,10868.1,37650
01-01-2019 11:30,10868,10871.8,10866,10870.8,30375
01-01-2019 11:35,10869.15,10873.5,10868,10870,14700
01-01-2019 11:40,10869.8,10874.7,10869.8,10872,17475
01-01-2019 11:45,10871,10875,10868,10868.35,29325
01-01-2019 11:50,10868.55,10871.8,10868,10871.5,11475
01-01-2019 11:55,10871,10873.3,10870.4,10873,9825
01-01-2019 12:00,10872,10875,10871,10875,7275
01-01-2019 12:05,10875.4,10879.75,10873.1,10873.2,38550
01-01-2019 12:10,10874.8,10878.5,10872.65,10876.8,15675
01-01-2019 12:15,10877.5,10877.9,10874.7,10877,11250
01-01-2019 12:20,10876.8,10877.5,10872.3,10874,15225
01-01-2019 12:25,10874.1,10874.7,10868.65,10868.65,25350
01-01-2019 12:30,10870,10870,10860.3,10866.3,71700
